,Parcel(s),year,Benchmark Status,ENERGY STAR Score,Percent Better than National Median Site EUI,Percent Better than National Median Source EUI,Percentage Better than National Median Source EUI,Reason for Exemption,Site EUI (kBtu/ft2),Source EUI (kBtu/ft2),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft2),Weather Normalized Site EUI (kBtu/ft2),Weather Normalized Source EUI (kBtu/ft2),Building Name,Building Address,Postal Code,Full.Address,Floor Area,Property Type,Property Type - Self Selected,PIM Link,Year Built,Energy Audit Due Date,Energy Audit Status,Previous Year ENERGY STAR Score,Two Years Ago ENERGY STAR Score,Current Year YoY Change,Previous Year YoY Change,Age In Years,Recalculated GHG Emissions Intensity (kgCO2e/ft2),Is Downtown
1648,0163/005,2018,Complied,63.0,-15.7,-15.7,,,48.2,127.0,286.3,3.3,48.1,126.8,Westlake MOB,909 MONTGOMERY ST,94133,"909 MONTGOMERY ST
SAN FRANCISCO, CA 94133
(37.797551, -122.403736)",104311,Commercial,Office,http://propertymap.sfplanning.org/?&search=0163/005,1983.0,2018-04-01T00:00:00.000,Complied,62.0,77.0,1.0,-15.0,35.0,2.7446769755826326,False
1653,0163/008A,2013,Complied,86.0,-39.0,-39.1,,,37.2,110.6,69.6,3.2,37.0,110.1,560 PACIFIC AVE,560 PACIFIC AVE,94133,"560 PACIFIC AVE
SAN FRANCISCO, CA 94133
(37.797185, -122.404632)",22000,Commercial,Office,http://propertymap.sfplanning.org/?&search=0163/008A,1910.0,2019-04-01T00:00:00.000,Complied,,,,,103.0,3.1636363636363636,False
1654,0163/008A,2014,Complied,89.0,-44.2,-44.2,,,33.4,99.0,58.2,2.6,34.6,100.1,560 PACIFIC AVE,560 PACIFIC AVE,94133,"560 PACIFIC AVE
SAN FRANCISCO, CA 94133
(37.797185, -122.404632)",22000,Commercial,Office,http://propertymap.sfplanning.org/?&search=0163/008A,1910.0,2019-04-01T00:00:00.000,Complied,86.0,,3.0,,104.0,2.6454545454545455,False
1655,0163/008A,2015,Complied,93.0,-50.0,-50.0,,,32.3,90.1,54.5,2.5,32.3,90.2,560 PACIFIC AVE,560 PACIFIC AVE,94133,"560 PACIFIC AVE
SAN FRANCISCO, CA 94133
(37.797185, -122.404632)",22000,Commercial,Office,http://propertymap.sfplanning.org/?&search=0163/008A,1910.0,2019-04-01T00:00:00.000,Complied,89.0,86.0,4.0,3.0,105.0,2.477272727272727,False
1656,0163/008A,2016,Complied,92.0,-48.4,-48.4,,,32.5,91.2,58.2,2.6,32.6,89.9,560 PACIFIC AVE,560 PACIFIC AVE,94133,"560 PACIFIC AVE
SAN FRANCISCO, CA 94133
(37.797185, -122.404632)",22000,Commercial,Office,http://propertymap.sfplanning.org/?&search=0163/008A,1910.0,2019-04-01T00:00:00.000,Complied,93.0,89.0,-1.0,4.0,106.0,2.6454545454545455,False
1657,0163/008A,2017,Complied,95.0,-54.1,-54.1,,,28.8,82.6,46.2,2.1,29.2,83.0,560 PACIFIC AVE,560 PACIFIC AVE,94133,"560 PACIFIC AVE
SAN FRANCISCO, CA 94133
(37.797185, -122.404632)",22000,Commercial,Office,http://propertymap.sfplanning.org/?&search=0163/008A,1910.0,2019-04-01T00:00:00.000,Complied,92.0,93.0,3.0,-1.0,107.0,2.1,False
1658,0163/008A,2018,Complied,84.0,-42.6,-42.6,,,30.2,81.6,46.1,2.1,30.2,81.6,560 PACIFIC AVE,560 PACIFIC AVE,94133,"560 PACIFIC AVE
SAN FRANCISCO, CA 94133
(37.797185, -122.404632)",22000,Commercial,Office,http://propertymap.sfplanning.org/?&search=0163/008A,1910.0,2019-04-01T00:00:00.000,Complied,95.0,92.0,-11.0,3.0,108.0,2.0954545454545452,False
1664,0163/009,2014,Complied,98.0,-64.7,-64.7,,,17.2,54.0,26.3,1.4,17.2,54.0,570-574 Pacific Avenue,574 PACIFIC AVE,94133,"574 PACIFIC AVE
SAN FRANCISCO, CA 94133
(37.79716, -122.404826)",18763,Commercial,Office,http://propertymap.sfplanning.org/?&search=0163/009,1907.0,2020-04-01T00:00:00.000,Complied,,,,,107.0,1.4016948249213879,False
1665,0163/009,2015,Complied,98.0,-64.0,-64.0,,,20.3,63.6,31.0,1.7,20.3,63.6,570-574 Pacific Avenue,574 PACIFIC AVE,94133,"574 PACIFIC AVE
SAN FRANCISCO, CA 94133
(37.79716, -122.404826)",18763,Commercial,Office,http://propertymap.sfplanning.org/?&search=0163/009,1907.0,2020-04-01T00:00:00.000,Complied,98.0,,0.0,,108.0,1.6521878164472632,False
1666,0163/009,2016,Complied,97.0,-59.6,-59.6,,,22.3,70.2,36.4,1.9,22.3,70.2,570-574 Pacific Avenue,574 PACIFIC AVE,94133,"574 PACIFIC AVE
SAN FRANCISCO, CA 94133
(37.79716, -122.404826)",18763,Commercial,Office,http://propertymap.sfplanning.org/?&search=0163/009,1907.0,2020-04-01T00:00:00.000,Complied,98.0,98.0,-1.0,0.0,109.0,1.9399882747961414,False
1667,0163/009,2017,Complied,97.0,-60.2,-60.2,,,20.7,65.1,29.5,1.6,21.3,66.7,570-574 Pacific Avenue,574 PACIFIC AVE,94133,"574 PACIFIC AVE
SAN FRANCISCO, CA 94133
(37.79716, -122.404826)",18763,Commercial,Office,http://propertymap.sfplanning.org/?&search=0163/009,1907.0,2020-04-01T00:00:00.000,Complied,97.0,98.0,0.0,-1.0,110.0,1.572243244683686,False
1668,0163/009,2018,Complied,88.0,-48.7,-48.7,,,20.2,56.7,26.7,1.4,20.2,56.7,570-574 Pacific Avenue,574 PACIFIC AVE,94133,"574 PACIFIC AVE
SAN FRANCISCO, CA 94133
(37.79716, -122.404826)",18763,Commercial,Office,http://propertymap.sfplanning.org/?&search=0163/009,1907.0,2020-04-01T00:00:00.000,Complied,97.0,97.0,-9.0,0.0,111.0,1.423013377391675,False
1669,0163/009,2019,Complied,92.0,-56.6,,-56.6,,18.5,51.9,24.5,1.3,19.0,53.1,570-574 Pacific Avenue,574 PACIFIC AVE,94133,"574 PACIFIC AVE
SAN FRANCISCO, CA 94133
(37.79716, -122.404826)",18763,Commercial,Office,http://propertymap.sfplanning.org/?&search=0163/009,1907.0,2020-04-01T00:00:00.000,Complied,88.0,97.0,4.0,-9.0,112.0,1.305761338805095,False
1673,0164/002,2013,Complied,42.0,8.3,8.5,,,52.1,112.6,73.9,3.6,52.1,112.6,847 Sansome,847 SANSOME ST,94133,"847 SANSOME ST
SAN FRANCISCO, CA 94133
(37.79806, -122.402161)",20784,Commercial,Office,http://propertymap.sfplanning.org/?&search=0164/002,1983.0,2021-04-01T00:00:00.000,Upcoming,,,,,30.0,3.5556197074672826,False
1674,0164/002,2014,Complied,37.0,13.9,13.9,,,52.6,113.3,74.5,3.6,52.6,113.3,847 Sansome,847 SANSOME ST,94133,"847 SANSOME ST
SAN FRANCISCO, CA 94133
(37.79806, -122.402161)",20784,Commercial,Office,http://propertymap.sfplanning.org/?&search=0164/002,1983.0,2021-04-01T00:00:00.000,Upcoming,42.0,,-5.0,,31.0,3.584488067744419,False
1675,0164/002,2015,Complied,43.0,7.4,7.4,,,48.0,109.9,69.8,3.4,47.2,107.4,847 Sansome,847 SANSOME ST,94133,"847 SANSOME ST
SAN FRANCISCO, CA 94133
(37.79806, -122.402161)",20784,Commercial,Office,http://propertymap.sfplanning.org/?&search=0164/002,1983.0,2021-04-01T00:00:00.000,Upcoming,37.0,42.0,6.0,-5.0,32.0,3.3583525789068513,False
1676,0164/002,2016,Complied,29.0,24.9,24.9,,,58.8,123.3,85.5,4.1,57.6,119.4,847 Sansome,847 SANSOME ST,94133,"847 SANSOME ST
SAN FRANCISCO, CA 94133
(37.79806, -122.402161)",20784,Commercial,Office,http://propertymap.sfplanning.org/?&search=0164/002,1983.0,2021-04-01T00:00:00.000,Upcoming,43.0,37.0,-14.0,6.0,33.0,4.1137413394919164,False
1677,0164/002,2017,Complied,47.0,2.5,2.5,,,49.4,104.8,66.5,3.2,48.4,101.8,847 Sansome,847 SANSOME ST,94133,"847 SANSOME ST
SAN FRANCISCO, CA 94133
(37.79806, -122.402161)",20784,Commercial,Office,http://propertymap.sfplanning.org/?&search=0164/002,1983.0,2021-04-01T00:00:00.000,Upcoming,29.0,43.0,18.0,-14.0,34.0,3.199576597382602,False
1678,0164/002,2018,Complied,46.0,4.6,4.6,,,38.3,80.1,50.5,2.4,38.6,80.9,847 Sansome,847 SANSOME ST,94133,"847 SANSOME ST
SAN FRANCISCO, CA 94133
(37.79806, -122.402161)",20784,Commercial,Office,http://propertymap.sfplanning.org/?&search=0164/002,1983.0,2021-04-01T00:00:00.000,Upcoming,47.0,29.0,-1.0,18.0,35.0,2.4297536566589684,False
1679,0164/002,2019,Complied,51.0,-1.4,,-1.4,,41.7,82.7,52.1,2.5,40.9,80.4,847 Sansome,847 SANSOME ST,94133,"847 SANSOME ST
SAN FRANCISCO, CA 94133
(37.79806, -122.402161)",20784,Commercial,Office,http://propertymap.sfplanning.org/?&search=0164/002,1983.0,2021-04-01T00:00:00.000,Upcoming,46.0,47.0,5.0,-1.0,36.0,2.506735950731332,False
1682,0164/010,2012,Complied,55.0,-5.5,,,,65.2,141.0,123.41,,64.6,143.2,450 Pacific KYL,450 PACIFIC AVE,94133,"450 PACIFIC AVE
SAN FRANCISCO, CA 94133
(37.797389, -122.403014)",26476,Commercial,Office,http://propertymap.sfplanning.org/?&search=0164/010,1906.0,2023-04-01T00:00:00.000,Upcoming,,,,,106.0,4.6612025985798455,False
1683,0164/010,2013,Complied,46.0,3.7,3.8,,,69.3,144.4,128.9,4.9,69.1,143.3,450 Pacific KYL,450 PACIFIC AVE,94133,"450 PACIFIC AVE
SAN FRANCISCO, CA 94133
(37.797389, -122.403014)",26476,Commercial,Office,http://propertymap.sfplanning.org/?&search=0164/010,1906.0,2023-04-01T00:00:00.000,Upcoming,55.0,,-9.0,,107.0,4.868560205469104,False
1684,0164/010,2014,Complied,50.0,-0.5,-0.5,,,60.8,134.0,110.7,4.2,62.1,134.2,450 Pacific KYL,450 PACIFIC AVE,94133,"450 PACIFIC AVE
SAN FRANCISCO, CA 94133
(37.797389, -122.403014)",26476,Commercial,Office,http://propertymap.sfplanning.org/?&search=0164/010,1906.0,2023-04-01T00:00:00.000,Upcoming,46.0,55.0,4.0,-9.0,108.0,4.181145188094878,False
1685,0164/010,2015,Complied,53.0,-3.7,-3.7,,,64.1,136.6,115.1,4.3,63.5,134.6,450 Pacific KYL,450 PACIFIC AVE,94133,"450 PACIFIC AVE
SAN FRANCISCO, CA 94133
(37.797389, -122.403014)",26476,Commercial,Office,http://propertymap.sfplanning.org/?&search=0164/010,1906.0,2023-04-01T00:00:00.000,Upcoming,50.0,46.0,3.0,4.0,109.0,4.347333434053483,False
1686,0164/010,2016,Complied,63.0,-14.2,-14.2,,,55.8,122.2,105.6,4.0,57.7,122.6,450 Pacific KYL,450 PACIFIC AVE,94133,"450 PACIFIC AVE
SAN FRANCISCO, CA 94133
(37.797389, -122.403014)",26476,Commercial,Office,http://propertymap.sfplanning.org/?&search=0164/010,1906.0,2023-04-01T00:00:00.000,Upcoming,53.0,50.0,10.0,3.0,110.0,3.9885179030064966,False
1687,0164/010,2017,Complied,63.0,-14.0,-14.0,,,58.2,124.4,100.1,3.8,59.3,124.7,450 Pacific KYL,450 PACIFIC AVE,94133,"450 PACIFIC AVE
SAN FRANCISCO, CA 94133
(37.797389, -122.403014)",26476,Commercial,Office,http://propertymap.sfplanning.org/?&search=0164/010,1906.0,2023-04-01T00:00:00.000,Upcoming,63.0,53.0,0.0,10.0,111.0,3.7807825955582413,False
1688,0164/010,2018,Complied,39.0,15.1,15.1,,,58.7,110.8,95.4,3.6,58.3,110.6,450 Pacific KYL,450 PACIFIC AVE,94133,"450 PACIFIC AVE
SAN FRANCISCO, CA 94133
(37.797389, -122.403014)",26476,Commercial,Office,http://propertymap.sfplanning.org/?&search=0164/010,1906.0,2023-04-01T00:00:00.000,Upcoming,63.0,63.0,-24.0,0.0,112.0,3.6032633328297328,False
1689,0164/010,2019,Complied,39.0,13.9,,13.9,,69.9,127.0,112.4,4.2,72.8,130.0,450 Pacific KYL,450 PACIFIC AVE,94133,"450 PACIFIC AVE
SAN FRANCISCO, CA 94133
(37.797389, -122.403014)",26476,Commercial,Office,http://propertymap.sfplanning.org/?&search=0164/010,1906.0,2023-04-01T00:00:00.000,Upcoming,39.0,63.0,0.0,-24.0,113.0,4.245354283124339,False
1703,0164/012,2013,Complied,32.0,20.5,20.5,,,74.7,175.9,127.1,5.3,74.9,175.9,930 MONTGOMERY ST,930 MONTGOMERY ST,94133,"930 MONTGOMERY ST
SAN FRANCISCO, CA 94133
(37.797731, -122.403772)",24000,Commercial,Office,http://propertymap.sfplanning.org/?&search=0164/012,1927.0,2018-04-01T00:00:00.000,Complied,,,,,86.0,5.295833333333333,False
1706,0164/012,2016,Complied,25.0,38.5,38.5,,,82.8,171.4,125.6,5.2,82.8,171.4,930 MONTGOMERY ST,930 MONTGOMERY ST,94133,"930 MONTGOMERY ST
SAN FRANCISCO, CA 94133
(37.797731, -122.403772)",24000,Commercial,Office,http://propertymap.sfplanning.org/?&search=0164/012,1927.0,2018-04-01T00:00:00.000,Complied,32.0,,-7.0,,89.0,5.233333333333333,False
1707,0164/012,2017,Complied,12.0,59.8,59.8,,,146.0,262.4,214.6,8.9,146.7,257.7,930 MONTGOMERY ST,930 MONTGOMERY ST,94133,"930 MONTGOMERY ST
SAN FRANCISCO, CA 94133
(37.797731, -122.403772)",24000,Commercial,Office,http://propertymap.sfplanning.org/?&search=0164/012,1927.0,2018-04-01T00:00:00.000,Complied,25.0,32.0,-13.0,-7.0,90.0,8.941666666666666,False
1722,0164/031,2012,Complied,81.0,-33.9,,,,53.4,132.5,146.1,,52.3,131.3,50 Osgood Place,50 OSGOOD PL,94133,"50 OSGOOD PL
SAN FRANCISCO, CA 94133
(37.797949, -122.403003)",34343,Commercial,Office,http://propertymap.sfplanning.org/?&search=0164/031,1986.0,2019-04-01T00:00:00.000,Pending - Contracted,,,,,26.0,4.254142037678712,False
1723,0164/031,2013,Complied,90.0,-45.6,-45.6,,,44.0,107.9,119.6,3.4,44.1,108.0,50 Osgood Place,50 OSGOOD PL,94133,"50 OSGOOD PL
SAN FRANCISCO, CA 94133
(37.797949, -122.403003)",34343,Commercial,Office,http://propertymap.sfplanning.org/?&search=0164/031,1986.0,2019-04-01T00:00:00.000,Pending - Contracted,81.0,,9.0,,27.0,3.4825146318026965,False
1724,0164/031,2014,Complied,93.0,-50.3,-50.3,,,30.0,80.1,77.5,2.3,30.0,80.1,50 Osgood Place,50 OSGOOD PL,94133,"50 OSGOOD PL
SAN FRANCISCO, CA 94133
(37.797949, -122.403003)",34343,Commercial,Office,http://propertymap.sfplanning.org/?&search=0164/031,1986.0,2019-04-01T00:00:00.000,Pending - Contracted,90.0,81.0,3.0,9.0,28.0,2.2566461869958943,False
1725,0164/031,2015,Complied,73.0,-24.4,-24.4,,,43.9,123.9,116.4,3.4,43.9,123.9,50 Osgood Place,50 OSGOOD PL,94133,"50 OSGOOD PL
SAN FRANCISCO, CA 94133
(37.797949, -122.403003)",34343,Commercial,Office,http://propertymap.sfplanning.org/?&search=0164/031,1986.0,2019-04-01T00:00:00.000,Pending - Contracted,93.0,90.0,-20.0,3.0,29.0,3.389336982791253,False
1726,0164/031,2016,Complied,72.0,-22.9,-22.9,,,45.4,123.6,124.8,3.6,45.4,123.6,50 Osgood Place,50 OSGOOD PL,94133,"50 OSGOOD PL
SAN FRANCISCO, CA 94133
(37.797949, -122.403003)",34343,Commercial,Office,http://propertymap.sfplanning.org/?&search=0164/031,1986.0,2019-04-01T00:00:00.000,Pending - Contracted,73.0,93.0,-1.0,-20.0,30.0,3.633928311446292,False
1727,0164/031,2017,Complied,64.0,-15.3,-15.3,,,60.3,138.8,138.2,4.0,60.3,138.8,50 Osgood Place,50 OSGOOD PL,94133,"50 OSGOOD PL
SAN FRANCISCO, CA 94133
(37.797949, -122.403003)",34343,Commercial,Office,http://propertymap.sfplanning.org/?&search=0164/031,1986.0,2019-04-01T00:00:00.000,Pending - Contracted,72.0,73.0,-8.0,-1.0,31.0,4.024109716681711,False
1728,0164/031,2018,Complied,58.0,-10.0,-10.0,,,46.7,104.6,104.1,3.0,46.7,104.6,50 Osgood Place,50 OSGOOD PL,94133,"50 OSGOOD PL
SAN FRANCISCO, CA 94133
(37.797949, -122.403003)",34343,Commercial,Office,http://propertymap.sfplanning.org/?&search=0164/031,1986.0,2019-04-01T00:00:00.000,Pending - Contracted,64.0,72.0,-6.0,-8.0,32.0,3.0311853944035176,False
1729,0164/031,2019,Complied,67.0,-21.0,,-21.0,,47.1,103.9,104.5,3.0,48.7,105.5,50 Osgood Place,50 OSGOOD PL,94133,"50 OSGOOD PL
SAN FRANCISCO, CA 94133
(37.797949, -122.403003)",34343,Commercial,Office,http://propertymap.sfplanning.org/?&search=0164/031,1986.0,2019-04-01T00:00:00.000,Pending - Contracted,58.0,64.0,9.0,-6.0,33.0,3.0428326005299478,False
1731,0165/007,2011,Complied,82.0,-34.2,,,,66.1,,264.63,,66.1,,PMI - 394 Pacific Avenue,394 PACIFIC AVE,94111,"394 PACIFIC AVE
SAN FRANCISCO, CA 94111
(37.79754, -122.401809)",54700,Commercial,Office,http://propertymap.sfplanning.org/?&search=0165/007,1907.0,2023-04-01T00:00:00.000,Upcoming,,,,,104.0,4.837842778793418,False
1732,0165/007,2012,Complied,73.0,-24.5,,,,70.1,149.5,272.8,,70.6,151.0,PMI - 394 Pacific Avenue,394 PACIFIC AVE,94111,"394 PACIFIC AVE
SAN FRANCISCO, CA 94111
(37.79754, -122.401809)",54700,Commercial,Office,http://propertymap.sfplanning.org/?&search=0165/007,1907.0,2023-04-01T00:00:00.000,Upcoming,82.0,,-9.0,,105.0,4.987202925045704,False
1733,0165/007,2013,Complied,72.0,-23.0,-23.0,,,68.6,151.0,271.2,5.0,68.6,150.8,PMI - 394 Pacific Avenue,394 PACIFIC AVE,94111,"394 PACIFIC AVE
SAN FRANCISCO, CA 94111
(37.79754, -122.401809)",54700,Commercial,Office,http://propertymap.sfplanning.org/?&search=0165/007,1907.0,2023-04-01T00:00:00.000,Upcoming,73.0,82.0,-1.0,-9.0,106.0,4.957952468007313,False
1734,0165/007,2014,Complied,72.0,-23.5,-23.5,,,58.6,146.6,233.6,4.3,57.8,143.9,PMI - 394 Pacific Avenue,394 PACIFIC AVE,94111,"394 PACIFIC AVE
SAN FRANCISCO, CA 94111
(37.79754, -122.401809)",54700,Commercial,Office,http://propertymap.sfplanning.org/?&search=0165/007,1907.0,2023-04-01T00:00:00.000,Upcoming,72.0,73.0,0.0,-1.0,107.0,4.270566727605119,False
1735,0165/007,2015,Complied,73.0,-24.4,-24.4,,,57.7,147.1,231.9,4.2,57.1,145.2,PMI - 394 Pacific Avenue,394 PACIFIC AVE,94111,"394 PACIFIC AVE
SAN FRANCISCO, CA 94111
(37.79754, -122.401809)",54700,Commercial,Office,http://propertymap.sfplanning.org/?&search=0165/007,1907.0,2023-04-01T00:00:00.000,Upcoming,72.0,72.0,1.0,0.0,108.0,4.239488117001828,False
1736,0165/007,2016,Complied,63.0,-14.5,-14.5,,,70.8,161.6,282.6,5.2,70.6,158.1,PMI - 394 Pacific Avenue,394 PACIFIC AVE,94111,"394 PACIFIC AVE
SAN FRANCISCO, CA 94111
(37.79754, -122.401809)",54700,Commercial,Office,http://propertymap.sfplanning.org/?&search=0165/007,1907.0,2023-04-01T00:00:00.000,Upcoming,73.0,72.0,-10.0,1.0,109.0,5.16636197440585,False
1737,0165/007,2017,Complied,68.0,-19.3,-19.3,,,68.8,148.1,244.9,4.5,68.8,148.1,PMI - 394 Pacific Avenue,394 PACIFIC AVE,94111,"394 PACIFIC AVE
SAN FRANCISCO, CA 94111
(37.79754, -122.401809)",54700,Commercial,Office,http://propertymap.sfplanning.org/?&search=0165/007,1907.0,2023-04-01T00:00:00.000,Upcoming,63.0,73.0,5.0,-10.0,110.0,4.477148080438757,False
1738,0165/007,2018,Complied,38.0,15.8,15.8,,,73.4,152.9,254.3,4.6,73.4,152.9,PMI - 394 Pacific Avenue,394 PACIFIC AVE,94111,"394 PACIFIC AVE
SAN FRANCISCO, CA 94111
(37.79754, -122.401809)",54700,Commercial,Office,http://propertymap.sfplanning.org/?&search=0165/007,1907.0,2023-04-01T00:00:00.000,Upcoming,68.0,63.0,-30.0,5.0,111.0,4.6489945155393055,False
1739,0165/007,2019,Complied,78.0,-34.5,,-34.5,,72.9,150.5,251.8,4.6,72.1,148.3,PMI - 394 Pacific Avenue,394 PACIFIC AVE,94111,"394 PACIFIC AVE
SAN FRANCISCO, CA 94111
(37.79754, -122.401809)",54700,Commercial,Office,http://propertymap.sfplanning.org/?&search=0165/007,1907.0,2023-04-01T00:00:00.000,Upcoming,38.0,68.0,40.0,-30.0,112.0,4.603290676416819,False
1743,0165/008,2013,Complied,73.0,-24.6,-24.6,,,42.1,106.0,46.1,3.3,42.3,106.1,832 SANSOME ST,832 SANSOME ST,94111,"832 SANSOME ST
SAN FRANCISCO, CA 94111
(37.797989, -122.402146)",14154,Commercial,Office,http://propertymap.sfplanning.org/?&search=0165/008,1912.0,2019-04-01T00:00:00.000,Complied,,,,,101.0,3.2570298148933166,False
1744,0165/008,2014,Complied,67.0,-18.2,-18.2,,,47.5,111.3,47.5,3.4,47.5,111.3,832 SANSOME ST,832 SANSOME ST,94111,"832 SANSOME ST
SAN FRANCISCO, CA 94111
(37.797989, -122.402146)",14154,Commercial,Office,http://propertymap.sfplanning.org/?&search=0165/008,1912.0,2019-04-01T00:00:00.000,Complied,73.0,,-6.0,,102.0,3.3559417832414864,False
1745,0165/008,2015,Complied,87.0,-41.0,-41.0,,,33.0,81.9,33.9,2.4,33.0,81.9,832 SANSOME ST,832 SANSOME ST,94111,"832 SANSOME ST
SAN FRANCISCO, CA 94111
(37.797989, -122.402146)",14154,Commercial,Office,http://propertymap.sfplanning.org/?&search=0165/008,1912.0,2019-04-01T00:00:00.000,Complied,67.0,73.0,20.0,-6.0,103.0,2.3950826621449766,False
1746,0165/008,2016,Complied,87.0,-40.9,-40.9,,,26.8,80.1,32.0,2.3,26.8,80.1,832 SANSOME ST,832 SANSOME ST,94111,"832 SANSOME ST
SAN FRANCISCO, CA 94111
(37.797989, -122.402146)",14154,Commercial,Office,http://propertymap.sfplanning.org/?&search=0165/008,1912.0,2019-04-01T00:00:00.000,Complied,87.0,67.0,0.0,20.0,104.0,2.2608449908153174,False
1747,0165/008,2017,Complied,91.0,-47.2,-47.2,,,25.7,73.3,26.4,1.9,26.5,74.2,832 SANSOME ST,832 SANSOME ST,94111,"832 SANSOME ST
SAN FRANCISCO, CA 94111
(37.797989, -122.402146)",14154,Commercial,Office,http://propertymap.sfplanning.org/?&search=0165/008,1912.0,2019-04-01T00:00:00.000,Complied,87.0,87.0,4.0,0.0,105.0,1.8651971174226367,False
1748,0165/008,2018,Complied,81.0,-39.3,-39.3,,,26.1,69.4,25.5,1.8,26.0,69.3,832 SANSOME ST,832 SANSOME ST,94111,"832 SANSOME ST
SAN FRANCISCO, CA 94111
(37.797989, -122.402146)",14154,Commercial,Office,http://propertymap.sfplanning.org/?&search=0165/008,1912.0,2019-04-01T00:00:00.000,Complied,91.0,87.0,-10.0,4.0,106.0,1.801610852055956,False
1777,0165/022,2017,Complied,5.0,62.5,62.5,,,164.2,300.0,591.2,10.3,164.2,330.0,717 BATTERY ST,717 BATTERY ST,94111,"717 BATTERY ST
SAN FRANCISCO, CA 94111
(37.797906, -122.400924)",57500,Commercial,Hotel,http://propertymap.sfplanning.org/?&search=0165/022,1907.0,2020-04-01T00:00:00.000,Pending - Contracted,,,,,110.0,10.281739130434783,False
1778,0165/022,2018,Complied,5.0,63.7,63.7,,,166.0,334.0,598.0,10.4,166.0,334.0,717 BATTERY ST,717 BATTERY ST,94111,"717 BATTERY ST
SAN FRANCISCO, CA 94111
(37.797906, -122.400924)",57500,Commercial,Hotel,http://propertymap.sfplanning.org/?&search=0165/022,1907.0,2020-04-01T00:00:00.000,Pending - Contracted,5.0,,0.0,,111.0,10.4,False
1779,0165/022,2019,Complied,7.0,57.4,,57.4,,156.6,319.9,566.6,9.9,156.6,319.9,717 BATTERY ST,717 BATTERY ST,94111,"717 BATTERY ST
SAN FRANCISCO, CA 94111
(37.797906, -122.400924)",57500,Commercial,Hotel,http://propertymap.sfplanning.org/?&search=0165/022,1907.0,2020-04-01T00:00:00.000,Pending - Contracted,5.0,5.0,2.0,0.0,112.0,9.853913043478261,False
1781,0166/001,2011,Complied,84.0,-36.5,,,,42.8,,231.76,,41.6,,747 Front Street,101 BROADWAY,94111,"101 BROADWAY
SAN FRANCISCO, CA 94111
(37.798682, -122.40022)",71775,Commercial,Office,http://propertymap.sfplanning.org/?&search=0166/001,1909.0,2020-04-01T00:00:00.000,Upcoming,,,,,102.0,3.228979449669105,False
1782,0166/001,2012,Complied,80.0,-31.8,,,,45.0,128.5,267.86,,44.1,127.6,747 Front Street,101 BROADWAY,94111,"101 BROADWAY
SAN FRANCISCO, CA 94111
(37.798682, -122.40022)",71775,Commercial,Office,http://propertymap.sfplanning.org/?&search=0166/001,1909.0,2020-04-01T00:00:00.000,Upcoming,84.0,,-4.0,,103.0,3.73194009056078,False
1783,0166/001,2013,Complied,85.0,-37.9,-38.0,,,35.5,109.2,221.2,3.1,35.5,109.2,747 Front Street,101 BROADWAY,94111,"101 BROADWAY
SAN FRANCISCO, CA 94111
(37.798682, -122.40022)",71775,Commercial,Office,http://propertymap.sfplanning.org/?&search=0166/001,1909.0,2020-04-01T00:00:00.000,Upcoming,80.0,84.0,5.0,-4.0,104.0,3.0818530128874957,False
1784,0166/001,2014,Complied,89.0,-43.3,-43.3,,,31.7,97.3,183.4,2.6,31.7,97.3,747 Front Street,101 BROADWAY,94111,"101 BROADWAY
SAN FRANCISCO, CA 94111
(37.798682, -122.40022)",71775,Commercial,Office,http://propertymap.sfplanning.org/?&search=0166/001,1909.0,2020-04-01T00:00:00.000,Upcoming,85.0,80.0,4.0,5.0,105.0,2.5552072448624172,False
1785,0166/001,2015,Complied,82.0,-34.2,-34.2,,,46.8,114.7,242.4,3.4,48.3,116.3,747 Front Street,101 BROADWAY,94111,"101 BROADWAY
SAN FRANCISCO, CA 94111
(37.798682, -122.40022)",71775,Commercial,Office,http://propertymap.sfplanning.org/?&search=0166/001,1909.0,2020-04-01T00:00:00.000,Upcoming,89.0,85.0,-7.0,4.0,106.0,3.3772204806687567,False
1786,0166/001,2016,Complied,81.0,-33.1,-33.1,,,47.1,114.3,230.3,3.2,53.9,122.1,747 Front Street,101 BROADWAY,94111,"101 BROADWAY
SAN FRANCISCO, CA 94111
(37.798682, -122.40022)",71775,Commercial,Office,http://propertymap.sfplanning.org/?&search=0166/001,1909.0,2020-04-01T00:00:00.000,Upcoming,82.0,89.0,-1.0,-7.0,107.0,3.2086381051898294,False
1787,0166/001,2017,Complied,80.0,-32.7,-32.7,,,48.4,117.4,236.4,3.3,51.7,120.9,747 Front Street,101 BROADWAY,94111,"101 BROADWAY
SAN FRANCISCO, CA 94111
(37.798682, -122.40022)",71775,Commercial,Office,http://propertymap.sfplanning.org/?&search=0166/001,1909.0,2020-04-01T00:00:00.000,Upcoming,81.0,82.0,-1.0,-1.0,108.0,3.2936259143155695,False
